theme,url,img
Bengaluru attack: 5 people held over assault test positive for Covid-19,/programme/india-first/video/bengaluru-attack-5-people-held-over-assault-test-positive-for-covid-19-1670829-2020-04-25,https://akm-img-a-in.tosshub.com/indiatoday/images/video/202004/bengaluru-170x96.jpeg?u9vf05hUoFVv3UeRouzikbE0.4spFJKz
Doctors warn about early signs of infection as community transmission looms over Agra,/india/story/doctors-warn-about-early-signs-of-infection-as-community-transmission-looms-over-agra-1670826-2020-04-25,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202004/Sanitation_workers_Delhi__PTI_-170x96.jpeg?m._qYN.nJm6fFJq89KCN.COJdarPrkY.
" Covid-19 cases in India cross 23,000-mark, over 700 dead",/programme/to-the-point/video/covid-19-cases-in-india-cross-23-000-mark-over-700-dead-1670825-2020-04-25,https://akm-img-a-in.tosshub.com/indiatoday/images/video/202004/coronaanimated-170x96.jpeg?Of0IAOr2PAPmQZYQ2CTDYDmj0fdp6RPc
9 CRPF personnel test positive for Covid-19 in Delhi,/india/story/9-crpf-personnel-test-positive-covid19-delhi-1670819-2020-04-25,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202004/crpf_pti-170x96.jpeg?OVJTFLW.rNqgyCs570sv7Qqa82B25d7j
"Centre reopens shops selling non-essential goods, hopes to bend coornavirus curve by May 3",/india/story/coronavirus-in-india-toll-updates-ramzan-shops-reopen-end-of-lockdown-1670809-2020-04-25,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202004/PTI24-04-2020_000070A-170x96.jpeg?wxFXCsZGebPwFAGgAR.c8W__qBLAqCk.
Ask national carrier to roll back 10 per cent pay cut: Air India unions to aviation min,/india/story/air-india-pay-cut-employees-aviation-ministry-hardeep-singh-puri-1670818-2020-04-25,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202004/AIR_INDIA_PTI_0-170x96.jpeg?dmnJgVabJJXGvPMDHitKznF8eJXCuYrD
"Odisha Covid-19 tally rises to 94 after 4 new cases, all linked to Bengal ",/india/story/odisha-covid-19-tally-rises-after-new-cases-all-linked-to-bengal-1670817-2020-04-25,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202004/kolkata112_0-170x96.jpeg?VxwT8.hLeoKNqkkHgl5elihQvCK_ClCl
India records biggest single-day spike in in Covid-19 cases,/programme/news-today/video/in-the-biggest-spike-in-coronavirus-infection-on-a-single-day-india-on-friday-recorded-as-many-as-1-752-new-cases-taking-the-total-number-of-infected-people-to-1670816-2020-04-24,https://akm-img-a-in.tosshub.com/indiatoday/images/video/202004/coronavirusMP_2-170x96.jpeg?kzYVL4cf.PF8ry5.vx7jOQT5P9G2pMr6
Assam CM Sarbananda Sonowal distributes face masks among tea garden workers,/india/story/assam-cm-sarbananda-sonowal-distributes-face-masks-among-tea-garden-workers-1670815-2020-04-24,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202004/EWWxwDnUMAAcqzu__1_-170x96.jpeg?vCtdO_L4OTLh49ldvKVYVIyTKGIPe50i
MHA permits registered shops selling non-essential goods to open from tomm | Read order,/india/story/shops-selling-non-essential-goods-to-open-from-saturday-1670813-2020-04-24,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202004/Kullu__PTI_-170x96.jpeg?_6ab1eOjNxHXw0IaSCVacioeb.7JBD8x
"Ahmedabad woman, who recovered from virus, donates plasma",/india/video/ahmedabad-woman-who-recovered-from-virus-donates-plasma-1670811-2020-04-24,https://akm-img-a-in.tosshub.com/indiatoday/images/video/202004/CoronavirusNew_3-170x96.jpeg?uV_RJEqBchcSrFvPpbB4VgqL1biLvPqX
Assam tightens vigil in bordering areas after Covid-19 cases rise in West Bengal,/india/story/assam-tightens-vigil-in-bordering-areas-after-covid-19-cases-rise-in-west-bengal-1670806-2020-04-24,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202004/PTI24-04-2020_000081B-170x96.jpeg?_tzDA3.ULPi2nXUFaaostC2acjXP_Irq
